,season,city,team1,team2
319,2012,Chennai,Royal Challengers Bangalore,Chennai Super Kings
320,2012,Chandigarh,Pune Warriors,Kings XI Punjab
321,2012,Kolkata,Rajasthan Royals,Kolkata Knight Riders
322,2012,Delhi,Deccan Chargers,Delhi Daredevils
323,2012,Pune,Chennai Super Kings,Pune Warriors
324,2012,Kolkata,Kings XI Punjab,Kolkata Knight Riders
325,2012,Bangalore,Rajasthan Royals,Royal Challengers Bangalore
326,2012,Mumbai,Mumbai Indians,Delhi Daredevils
327,2012,Jaipur,Deccan Chargers,Rajasthan Royals
328,2012,Bangalore,Pune Warriors,Royal Challengers Bangalore
329,2012,Chandigarh,Kings XI Punjab,Kolkata Knight Riders
330,2012,Hyderabad,Deccan Chargers,Delhi Daredevils
331,2012,Chennai,Chennai Super Kings,Pune Warriors
332,2012,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore
333,2012,Chennai,Rajasthan Royals,Chennai Super Kings
334,2012,Delhi,Pune Warriors,Delhi Daredevils
335,2012,Mumbai,Mumbai Indians,Kings XI Punjab
336,2012,Cuttack,Deccan Chargers,Kolkata Knight Riders
337,2012,Jaipur,Royal Challengers Bangalore,Rajasthan Royals
338,2012,Pune,Pune Warriors,Delhi Daredevils
339,2012,Chandigarh,Kings XI Punjab,Mumbai Indians
340,2012,Pune,Deccan Chargers,Pune Warriors
341,2012,Delhi,Delhi Daredevils,Mumbai Indians
342,2012,Chennai,Kings XI Punjab,Chennai Super Kings
343,2012,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore
344,2012,Delhi,Delhi Daredevils,Rajasthan Royals
345,2012,Mumbai,Deccan Chargers,Mumbai Indians
346,2012,Chennai,Chennai Super Kings,Kolkata Knight Riders
347,2012,Cuttack,Deccan Chargers,Pune Warriors
348,2012,Jaipur,Rajasthan Royals,Delhi Daredevils
349,2012,Bangalore,Royal Challengers Bangalore,Kings XI Punjab
350,2012,Pune,Mumbai Indians,Pune Warriors
351,2012,Chennai,Chennai Super Kings,Deccan Chargers
352,2012,Kolkata,Kolkata Knight Riders,Pune Warriors
353,2012,Chandigarh,Rajasthan Royals,Kings XI Punjab
354,2012,Mumbai,Chennai Super Kings,Mumbai Indians
355,2012,Bangalore,Deccan Chargers,Royal Challengers Bangalore
356,2012,Delhi,Delhi Daredevils,Kolkata Knight Riders
357,2012,Pune,Pune Warriors,Rajasthan Royals
358,2012,Hyderabad,Kings XI Punjab,Deccan Chargers
359,2012,Mumbai,Mumbai Indians,Royal Challengers Bangalore
360,2012,Jaipur,Rajasthan Royals,Chennai Super Kings
361,2012,Pune,Royal Challengers Bangalore,Pune Warriors
362,2012,Kolkata,Mumbai Indians,Kolkata Knight Riders
363,2012,Chennai,Delhi Daredevils,Chennai Super Kings
364,2012,Jaipur,Rajasthan Royals,Pune Warriors
365,2012,Chandigarh,Deccan Chargers,Kings XI Punjab
366,2012,Bangalore,Royal Challengers Bangalore,Mumbai Indians
367,2012,Kolkata,Kolkata Knight Riders,Chennai Super Kings
368,2012,Delhi,Kings XI Punjab,Delhi Daredevils
369,2012,Mumbai,Kolkata Knight Riders,Mumbai Indians
370,2012,Dharamsala,Chennai Super Kings,Kings XI Punjab
371,2012,Delhi,Royal Challengers Bangalore,Delhi Daredevils
372,2012,Hyderabad,Rajasthan Royals,Deccan Chargers
373,2012,Dharamsala,Kings XI Punjab,Delhi Daredevils
374,2012,Pune,Kolkata Knight Riders,Pune Warriors
375,2012,Hyderabad,Deccan Chargers,Royal Challengers Bangalore
376,2012,Jaipur,Rajasthan Royals,Mumbai Indians
377,2012,Pune,Kolkata Knight Riders,Delhi Daredevils
378,2012,Bangalore,Chennai Super Kings,Mumbai Indians
379,2012,Chennai,Chennai Super Kings,Delhi Daredevils
380,2012,Chennai,Chennai Super Kings,Kolkata Knight Riders
381,2013,Kolkata,Delhi Daredevils,Kolkata Knight Riders
382,2013,Bangalore,Royal Challengers Bangalore,Mumbai Indians
383,2013,Hyderabad,Sunrisers Hyderabad,Pune Warriors
384,2013,Delhi,Rajasthan Royals,Delhi Daredevils
385,2013,Chennai,Mumbai Indians,Chennai Super Kings
386,2013,Pune,Pune Warriors,Kings XI Punjab
387,2013,Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
388,2013,Jaipur,Rajasthan Royals,Kolkata Knight Riders
389,2013,Mumbai,Mumbai Indians,Delhi Daredevils
390,2013,Chandigarh,Kings XI Punjab,Chennai Super Kings
391,2013,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
392,2013,Pune,Rajasthan Royals,Pune Warriors
393,2013,Delhi,Delhi Daredevils,Sunrisers Hyderabad
394,2013,Mumbai,Mumbai Indians,Pune Warriors
395,2013,Chennai,Royal Challengers Bangalore,Chennai Super Kings
396,2013,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad
397,2013,Jaipur,Kings XI Punjab,Rajasthan Royals
398,2013,Chennai,Pune Warriors,Chennai Super Kings
399,2013,Chandigarh,Kings XI Punjab,Kolkata Knight Riders
400,2013,Bangalore,Delhi Daredevils,Royal Challengers Bangalore
401,2013,Pune,Sunrisers Hyderabad,Pune Warriors
402,2013,Jaipur,Rajasthan Royals,Mumbai Indians
403,2013,Delhi,Chennai Super Kings,Delhi Daredevils
404,2013,Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
405,2013,Kolkata,Kolkata Knight Riders,Chennai Super Kings
406,2013,Bangalore,Rajasthan Royals,Royal Challengers Bangalore
407,2013,Delhi,Mumbai Indians,Delhi Daredevils
408,2013,Chandigarh,Pune Warriors,Kings XI Punjab
409,2013,Chennai,Rajasthan Royals,Chennai Super Kings
410,2013,Bangalore,Royal Challengers Bangalore,Pune Warriors
411,2013,Dharamsala,Kings XI Punjab,Delhi Daredevils
412,2013,Kolkata,Kolkata Knight Riders,Mumbai Indians
413,2013,Chennai,Sunrisers Hyderabad,Chennai Super Kings
414,2013,Kolkata,Kings XI Punjab,Kolkata Knight Riders
415,2013,Jaipur,Sunrisers Hyderabad,Rajasthan Royals
416,2013,Mumbai,Mumbai Indians,Royal Challengers Bangalore
417,2013,Chennai,Chennai Super Kings,Kolkata Knight Riders
418,2013,Raipur,Delhi Daredevils,Pune Warriors
419,2013,Jaipur,Royal Challengers Bangalore,Rajasthan Royals
420,2013,Mumbai,Mumbai Indians,Kings XI Punjab
421,2013,Pune,Chennai Super Kings,Pune Warriors
422,2013,Hyderabad,Mumbai Indians,Sunrisers Hyderabad
423,2013,Raipur,Kolkata Knight Riders,Delhi Daredevils
424,2013,Chennai,Chennai Super Kings,Kings XI Punjab
425,2013,Pune,Royal Challengers Bangalore,Pune Warriors
426,2013,Kolkata,Rajasthan Royals,Kolkata Knight Riders
427,2013,Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
428,2013,Bangalore,Royal Challengers Bangalore,Kings XI Punjab
429,2013,Mumbai,Mumbai Indians,Chennai Super Kings
430,2013,Jaipur,Pune Warriors,Rajasthan Royals
431,2013,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
432,2013,Jaipur,Delhi Daredevils,Rajasthan Royals
433,2013,Mumbai,Mumbai Indians,Kolkata Knight Riders
434,2013,Hyderabad,Chennai Super Kings,Sunrisers Hyderabad
435,2013,Chandigarh,Kings XI Punjab,Rajasthan Royals
436,2013,Pune,Kolkata Knight Riders,Pune Warriors
437,2013,Delhi,Royal Challengers Bangalore,Delhi Daredevils
438,2013,Pune,Pune Warriors,Mumbai Indians
439,2013,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab
440,2013,Ranchi,Royal Challengers Bangalore,Kolkata Knight Riders
441,2013,Jaipur,Chennai Super Kings,Rajasthan Royals
442,2013,Delhi,Delhi Daredevils,Kings XI Punjab
443,2013,Mumbai,Sunrisers Hyderabad,Mumbai Indians
444,2013,Ranchi,Pune Warriors,Kolkata Knight Riders
445,2013,Chennai,Chennai Super Kings,Delhi Daredevils
446,2013,Mumbai,Mumbai Indians,Rajasthan Royals
447,2013,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab
448,2013,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals
449,2013,Dharamsala,Kings XI Punjab,Mumbai Indians
450,2013,Pune,Pune Warriors,Delhi Daredevils
451,2013,Bangalore,Royal Challengers Bangalore,Chennai Super Kings
452,2013,Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
453,2013,Delhi,Chennai Super Kings,Mumbai Indians
454,2013,Delhi,Sunrisers Hyderabad,Rajasthan Royals
455,2013,Kolkata,Rajasthan Royals,Mumbai Indians
456,2013,Kolkata,Mumbai Indians,Chennai Super Kings
457,2014,Abu Dhabi,Kolkata Knight Riders,Mumbai Indians
458,2014,Sharjah,Delhi Daredevils,Royal Challengers Bangalore
459,2014,Abu Dhabi,Chennai Super Kings,Kings XI Punjab
460,2014,Abu Dhabi,Sunrisers Hyderabad,Rajasthan Royals
461,2014,,Mumbai Indians,Royal Challengers Bangalore
462,2014,,Kolkata Knight Riders,Delhi Daredevils
463,2014,Sharjah,Rajasthan Royals,Kings XI Punjab
464,2014,Abu Dhabi,Chennai Super Kings,Delhi Daredevils
465,2014,Sharjah,Kings XI Punjab,Sunrisers Hyderabad
466,2014,,Chennai Super Kings,Rajasthan Royals
467,2014,Sharjah,Kolkata Knight Riders,Royal Challengers Bangalore
468,2014,,Sunrisers Hyderabad,Delhi Daredevils
469,2014,,Mumbai Indians,Chennai Super Kings
470,2014,Abu Dhabi,Royal Challengers Bangalore,Rajasthan Royals
471,2014,Abu Dhabi,Kings XI Punjab,Kolkata Knight Riders
472,2014,Sharjah,Mumbai Indians,Delhi Daredevils
473,2014,Sharjah,Sunrisers Hyderabad,Chennai Super Kings
474,2014,,Royal Challengers Bangalore,Kings XI Punjab
475,2014,Abu Dhabi,Rajasthan Royals,Kolkata Knight Riders
476,2014,,Sunrisers Hyderabad,Mumbai Indians
477,2014,Ranchi,Chennai Super Kings,Kolkata Knight Riders
478,2014,Mumbai,Kings XI Punjab,Mumbai Indians
479,2014,Delhi,Delhi Daredevils,Rajasthan Royals
480,2014,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
481,2014,Ahmedabad,Rajasthan Royals,Kolkata Knight Riders
482,2014,Delhi,Delhi Daredevils,Chennai Super Kings
483,2014,Mumbai,Mumbai Indians,Royal Challengers Bangalore
484,2014,Delhi,Delhi Daredevils,Kolkata Knight Riders
485,2014,Cuttack,Kings XI Punjab,Chennai Super Kings
486,2014,Ahmedabad,Sunrisers Hyderabad,Rajasthan Royals
487,2014,Bangalore,Kings XI Punjab,Royal Challengers Bangalore
489,2014,Mumbai,Mumbai Indians,Chennai Super Kings
490,2014,Cuttack,Kings XI Punjab,Kolkata Knight Riders
491,2014,Bangalore,Royal Challengers Bangalore,Rajasthan Royals
492,2014,Hyderabad,Sunrisers Hyderabad,Mumbai Indians
493,2014,Ranchi,Rajasthan Royals,Chennai Super Kings
494,2014,Bangalore,Royal Challengers Bangalore,Delhi Daredevils
495,2014,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab
496,2014,Cuttack,Mumbai Indians,Kolkata Knight Riders
497,2014,Ahmedabad,Rajasthan Royals,Delhi Daredevils
498,2014,Ranchi,Chennai Super Kings,Royal Challengers Bangalore
499,2014,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders
500,2014,Ahmedabad,Mumbai Indians,Rajasthan Royals
501,2014,Delhi,Delhi Daredevils,Kings XI Punjab
502,2014,Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
503,2014,Kolkata,Chennai Super Kings,Kolkata Knight Riders
504,2014,Chandigarh,Kings XI Punjab,Mumbai Indians
505,2014,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore
506,2014,Ranchi,Chennai Super Kings,Sunrisers Hyderabad
507,2014,Mumbai,Mumbai Indians,Delhi Daredevils
508,2014,Chandigarh,Kings XI Punjab,Rajasthan Royals
509,2014,Bangalore,Royal Challengers Bangalore,Chennai Super Kings
510,2014,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders
511,2014,Chandigarh,Delhi Daredevils,Kings XI Punjab
512,2014,Mumbai,Rajasthan Royals,Mumbai Indians
513,2014,Kolkata,Kolkata Knight Riders,Kings XI Punjab
514,2014,Mumbai,Mumbai Indians,Chennai Super Kings
515,2014,Mumbai,Kings XI Punjab,Chennai Super Kings
516,2014,Bangalore,Kings XI Punjab,Kolkata Knight Riders
517,2015,Kolkata,Mumbai Indians,Kolkata Knight Riders
518,2015,Chennai,Chennai Super Kings,Delhi Daredevils
519,2015,Pune,Rajasthan Royals,Kings XI Punjab
520,2015,Chennai,Chennai Super Kings,Sunrisers Hyderabad
521,2015,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore
522,2015,Delhi,Delhi Daredevils,Rajasthan Royals
523,2015,Mumbai,Kings XI Punjab,Mumbai Indians
524,2015,Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad
525,2015,Ahmedabad,Mumbai Indians,Rajasthan Royals
526,2015,Kolkata,Chennai Super Kings,Kolkata Knight Riders
527,2015,Pune,Kings XI Punjab,Delhi Daredevils
528,2015,Visakhapatnam,Sunrisers Hyderabad,Rajasthan Royals
529,2015,Mumbai,Mumbai Indians,Chennai Super Kings
530,2015,Visakhapatnam,Delhi Daredevils,Sunrisers Hyderabad
531,2015,Pune,Kings XI Punjab,Kolkata Knight Riders
532,2015,Ahmedabad,Chennai Super Kings,Rajasthan Royals
533,2015,Bangalore,Mumbai Indians,Royal Challengers Bangalore
534,2015,Delhi,Delhi Daredevils,Kolkata Knight Riders
535,2015,Ahmedabad,Rajasthan Royals,Kings XI Punjab
537,2015,Bangalore,Chennai Super Kings,Royal Challengers Bangalore
538,2015,Delhi,Delhi Daredevils,Mumbai Indians
539,2015,Ahmedabad,Rajasthan Royals,Royal Challengers Bangalore
540,2015,Mumbai,Mumbai Indians,Sunrisers Hyderabad
541,2015,Chennai,Chennai Super Kings,Kings XI Punjab
542,2015,Delhi,Delhi Daredevils,Royal Challengers Bangalore
543,2015,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab
544,2015,Kolkata,Kolkata Knight Riders,Delhi Daredevils
545,2015,Bangalore,Royal Challengers Bangalore,Rajasthan Royals
546,2015,Chennai,Chennai Super Kings,Kolkata Knight Riders
547,2015,Delhi,Kings XI Punjab,Delhi Daredevils
548,2015,Mumbai,Mumbai Indians,Rajasthan Royals
549,2015,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
550,2015,Hyderabad,Sunrisers Hyderabad,Chennai Super Kings
551,2015,Chandigarh,Mumbai Indians,Kings XI Punjab
552,2015,Mumbai,Rajasthan Royals,Delhi Daredevils
553,2015,Chennai,Chennai Super Kings,Royal Challengers Bangalore
554,2015,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad
555,2015,Mumbai,Delhi Daredevils,Mumbai Indians
556,2015,Bangalore,Royal Challengers Bangalore,Kings XI Punjab
557,2015,Mumbai,Sunrisers Hyderabad,Rajasthan Royals
558,2015,Chennai,Chennai Super Kings,Mumbai Indians
559,2015,Kolkata,Kings XI Punjab,Kolkata Knight Riders
560,2015,Raipur,Sunrisers Hyderabad,Delhi Daredevils
561,2015,Mumbai,Royal Challengers Bangalore,Mumbai Indians
562,2015,Chennai,Chennai Super Kings,Rajasthan Royals
563,2015,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab
564,2015,Raipur,Chennai Super Kings,Delhi Daredevils
565,2015,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore
566,2015,Mumbai,Mumbai Indians,Kolkata Knight Riders
568,2015,Chandigarh,Kings XI Punjab,Chennai Super Kings
569,2015,Mumbai,Rajasthan Royals,Kolkata Knight Riders
570,2015,Bangalore,Delhi Daredevils,Royal Challengers Bangalore
571,2015,Hyderabad,Sunrisers Hyderabad,Mumbai Indians
572,2015,Mumbai,Mumbai Indians,Chennai Super Kings
573,2015,Pune,Royal Challengers Bangalore,Rajasthan Royals
574,2015,Ranchi,Royal Challengers Bangalore,Chennai Super Kings
575,2015,Kolkata,Mumbai Indians,Chennai Super Kings
576,2016,Mumbai,Mumbai Indians,Rising Pune Supergiants
577,2016,Kolkata,Delhi Daredevils,Kolkata Knight Riders
578,2016,Chandigarh,Kings XI Punjab,Gujarat Lions
579,2016,Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad
580,2016,Kolkata,Kolkata Knight Riders,Mumbai Indians
581,2016,Rajkot,Rising Pune Supergiants,Gujarat Lions
582,2016,Delhi,Kings XI Punjab,Delhi Daredevils
583,2016,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders
584,2016,Mumbai,Mumbai Indians,Gujarat Lions
585,2016,Chandigarh,Rising Pune Supergiants,Kings XI Punjab
586,2016,Bangalore,Royal Challengers Bangalore,Delhi Daredevils
587,2016,Hyderabad,Mumbai Indians,Sunrisers Hyderabad
588,2016,Chandigarh,Kings XI Punjab,Kolkata Knight Riders
589,2016,Mumbai,Royal Challengers Bangalore,Mumbai Indians
590,2016,Rajkot,Gujarat Lions,Sunrisers Hyderabad
591,2016,Pune,Royal Challengers Bangalore,Rising Pune Supergiants
592,2016,Delhi,Delhi Daredevils,Mumbai Indians
593,2016,Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
594,2016,Rajkot,Royal Challengers Bangalore,Gujarat Lions
595,2016,Pune,Rising Pune Supergiants,Kolkata Knight Riders
596,2016,Chandigarh,Mumbai Indians,Kings XI Punjab
598,2016,Delhi,Gujarat Lions,Delhi Daredevils
599,2016,Mumbai,Kolkata Knight Riders,Mumbai Indians
600,2016,Pune,Rising Pune Supergiants,Gujarat Lions
601,2016,Delhi,Delhi Daredevils,Kolkata Knight Riders
602,2016,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore
603,2016,Rajkot,Kings XI Punjab,Gujarat Lions
604,2016,Pune,Rising Pune Supergiants,Mumbai Indians
605,2016,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders
606,2016,Rajkot,Gujarat Lions,Delhi Daredevils
607,2016,Kolkata,Kolkata Knight Riders,Kings XI Punjab
608,2016,Delhi,Delhi Daredevils,Rising Pune Supergiants
609,2016,Hyderabad,Gujarat Lions,Sunrisers Hyderabad
610,2016,Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore
611,2016,Chandigarh,Kings XI Punjab,Delhi Daredevils
612,2016,Visakhapatnam,Sunrisers Hyderabad,Mumbai Indians
613,2016,Kolkata,Kolkata Knight Riders,Gujarat Lions
614,2016,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab
615,2016,Visakhapatnam,Sunrisers Hyderabad,Rising Pune Supergiants
616,2016,Bangalore,Royal Challengers Bangalore,Mumbai Indians
617,2016,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils
618,2016,Visakhapatnam,Mumbai Indians,Kings XI Punjab
619,2016,Bangalore,Royal Challengers Bangalore,Gujarat Lions
621,2016,Chandigarh,Kings XI Punjab,Sunrisers Hyderabad
622,2016,Visakhapatnam,Mumbai Indians,Delhi Daredevils
623,2016,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore
626,2016,Kanpur,Kolkata Knight Riders,Gujarat Lions
627,2016,Raipur,Sunrisers Hyderabad,Delhi Daredevils
628,2016,Visakhapatnam,Kings XI Punjab,Rising Pune Supergiants
629,2016,Kanpur,Mumbai Indians,Gujarat Lions
630,2016,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad
631,2016,Raipur,Delhi Daredevils,Royal Challengers Bangalore
632,2016,Bangalore,Gujarat Lions,Royal Challengers Bangalore
633,2016,Delhi,Sunrisers Hyderabad,Kolkata Knight Riders
634,2016,Delhi,Gujarat Lions,Sunrisers Hyderabad
635,2016,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
